User_ID,Profile_ID,Profile_Type,Age_Group,Gender,Country,Region,City,Language,Interface_Language,Subscription_Plan,Monthly_Fee_USD,Signup_Date,Last_Payment_Date,Payment_Method,Account_Age_Days,Is_Free_Trial,Trial_Converted,Profiles_Count,Simultaneous_Streams_Allowed,Content_ID,Title,Content_Type,Genre,Original_Language,Content_Origin,Release_Year,Age_Rating,Season_Count,Episode_Count,Watch_Date,Day_of_Week,Watch_Start_Hour,Watch_Duration_Min,Content_Duration_Min,Completion_Rate_Pct,Watch_Status,Rewatched,Subtitles_Used,Audio_Language,Rating_Given,Thumbs_Up_Count,Thumbs_Down_Count,Added_To_Watchlist,Shared_Content,Downloaded_Offline,Notification_Pref,Autoplay_Enabled,Skip_Intro_Used,Skip_Recap_Used,Device_Type,Platform,Stream_Quality,Audio_Quality,Buffering_Events,Avg_Bitrate_Mbps,Data_Used_GB,Connection_Type,HDR_Enabled,Dolby_Enabled,Director,Lead_Actor,Content_Mood,IMDB_Rating,Rotten_Tomatoes_Score,Netflix_Score,Global_Rank,Country_Rank,Views_First_Week_M,Total_Views_M,Segment,Churn_Risk,Satisfaction,NPS_Score,Days_Since_Last_Watch,Avg_Weekly_Watch_Hours,Monthly_Sessions,Content_Explored_Count,Search_Count,Recommendation_Clicked,Revenue_USD,Discount_Applied,Discount_Amount_USD,Ad_Revenue_USD,Affiliate_Revenue_USD,LTV_USD,Cost_To_Serve_USD,Gross_Margin_USD,Refund_Issued,Refund_Amount_USD,Referral_Source,Campaign_ID,Promo_Code_Used,Promo_Code,Cancel_Reason,Reactivated,Reactivation_Date,Support_Tickets,Avg_Resolution_Hours,Fiscal_Quarter
USR713762,PRF557058,Teen,13-17,Prefer Not to Say,South Korea,Europe,Berlin,Hindi,French,Mobile,1.8,2016-11-10,2024-06-06,UPI,2765,No,Yes,4,1,CNT528184,Squid Game,Talk Show,Horror,Portuguese,Licensed,2019,U/A 13+,1,1,2024-05-27,Monday,17,117,146,80.1,In Progress,Yes,Always,Japanese,1.3,210,88,No,No,No,None,Yes,No,Yes,Laptop,webOS,1080p,Stereo,10,20.98,5.11,3G,Yes,No,Scott Stuber,Millie Bobby Brown,Light-Hearted,5.2,67,80,155,17,4.9,16.9,Churned,High,Very Dissatisfied,93,15,25.2,49,14,13,No,0.37,Yes,5.0,1.34,0.27,14.4,2.41,-2.04,Yes,1.38,Partner Deal,CMP237377,No,None,Content Not Interesting,No,Not Applicable,2,21.3,FY2024-Q2
USR708093,PRF791998,Teen,13-17,Prefer Not to Say,India,South Asia,Karachi,Spanish,French,Basic,2.4,2022-12-17,2024-03-22,Gift Card,461,No,Yes,5,1,CNT607868,Stranger Things,Reality Show,Comedy,Korean,Licensed,2016,U/A 13+,1,1,2024-04-17,Wednesday,3,36,59,61.0,In Progress,No,Sometimes,Japanese,4.7,445,24,Yes,No,Yes,Recommendations Only,Yes,No,No,Desktop,Roku,4K HDR,Dolby Atmos,8,4.04,0.3,Fiber,Yes,No,Shonda Rhimes,Jenna Ortega,Suspenseful,6.3,85,77,107,31,147.1,525.4,New User,Very High,Very Satisfied,34,29,18.5,47,37,26,Yes,0.29,Yes,4.39,0.55,0.79,76.8,1.35,-1.06,No,0,Social Media,CMP592296,No,None,Temporary Pause,Yes,2023-10-17,2,16.6,FY2024-Q2
USR366314,PRF581894,Shared,25-34,Non-Binary,India,South Asia,Karachi,English,Japanese,Standard,6.01,2022-01-11,2024-09-06,Net Banking,969,Yes,Yes,2,2,CNT401603,Bird Box,Stand-Up,Action,Hindi,Co-Production,2021,A,1,1,2023-04-11,Tuesday,20,33,45,73.3,In Progress,Yes,Always,German,1.7,483,44,No,No,No,Recommendations Only,No,Yes,No,Tablet,iOS,720p,Surround 5.1,2,6.48,0.45,Broadband,No,No,Martin Scorsese,Millie Bobby Brown,Romantic,6.3,41,62,84,4,44.7,209.5,Binge Watcher,Low,Very Dissatisfied,75,24,29.9,4,156,47,No,1.03,Yes,1.26,0.16,0.87,270.45,2.21,-1.18,No,0,Email Campaign,CMP400096,No,None,Not Applicable,Yes,2023-08-26,1,29.3,FY2023-Q2
USR929090,PRF513741,Adult,45-54,Male,UK,Asia Pacific,Seoul,French,Portuguese,Mobile,1.8,2022-01-14,2024-11-26,Credit Card,1047,Yes,No,4,1,CNT576877,Money Heist,Anime,Thriller,Hindi,Licensed,2019,U/A 13+,3,33,2024-03-01,Friday,5,21,71,29.6,In Progress,No,Never,Japanese,4.1,55,86,Yes,No,Yes,None,No,Yes,Yes,Desktop,Fire TV,1080p,Dolby Atmos,7,24.2,1.06,3G,Yes,Yes,Shonda Rhimes,Millie Bobby Brown,Thought-Provoking,8.9,63,93,129,18,124.7,459.4,Power User,Low,Very Satisfied,-40,28,21.7,25,117,23,No,0.26,No,0,1.61,0.47,18.0,0.85,-0.59,Yes,1.69,Partner Deal,CMP878325,No,None,Too Expensive,No,Not Applicable,5,7.8,FY2024-Q1
USR251716,PRF236306,Shared,45-54,Non-Binary,Germany,Latin America,São Paulo,Spanish,English,Mobile,1.8,2022-09-28,2024-07-08,PayPal,649,Yes,No,4,1,CNT127032,Dark,Anime,Comedy,Japanese,Netflix Original,2023,U,6,48,2023-03-04,Saturday,12,29,90,32.2,In Progress,No,Always,Tamil,4.9,165,2,Yes,No,Yes,All,No,Yes,Yes,Tablet,Fire TV,1080p,Dolby Atmos,0,1.74,0.11,Broadband,Yes,No,Jenji Kohan,Lee Jung-jae,Feel Good,9.3,92,89,24,43,32.6,226.1,Re-Activated,High,Dissatisfied,64,30,1.7,31,103,27,Yes,0.28,Yes,4.04,0.41,0.83,73.8,1.02,-0.74,Yes,1.65,App Store,CMP847006,Yes,NF1046,Found Alternative,Yes,2023-12-03,3,4.0,FY2023-Q1
USR201255,PRF880758,Kids,18-24,Non-Binary,Mexico,North America,Toronto,Spanish,Portuguese,Standard,6.01,2022-01-01,2024-11-20,Credit Card,1054,No,Yes,4,2,CNT714953,Black Mirror,Stand-Up,Sci-Fi,Italian,Co-Production,2024,A,1,1,2024-03-16,Saturday,3,46,49,93.9,In Progress,No,Never,Hindi,3.6,210,45,No,Yes,No,None,No,No,Yes,Gaming Console,Tizen,720p,Dolby Atmos,7,10.27,0.98,3G,Yes,Yes,Bela Bajaria,Shefali Shah,Suspenseful,8.5,86,73,111,29,133.3,668.8,New User,High,Very Dissatisfied,-43,25,17.4,36,197,39,Yes,1.45,No,0,0.85,0.67,174.29,2.88,-1.43,No,0,Partner Deal,CMP789786,Yes,NF2527,Technical Issues,Yes,2023-04-04,5,13.2,FY2024-Q1
USR397005,PRF811163,Adult,25-34,Prefer Not to Say,Spain,Europe,Berlin,Italian,Korean,Basic,2.4,2021-05-08,2024-12-02,UPI,1304,No,Yes,1,1,CNT147623,The Crown,Movie,Comedy,Italian,Netflix Original,2018,U/A 16+,1,1,2024-01-21,Sunday,13,92,136,67.6,In Progress,Yes,Always,Korean,1.6,154,27,Yes,No,No,Recommendations Only,Yes,Yes,No,Desktop,Roku,720p,Stereo,9,1.72,0.33,3G,Yes,No,Ryan Murphy,Jason Bateman,Feel Good,6.4,60,96,153,6,132.6,374.3,Power User,Low,Dissatisfied,-81,27,12.9,28,147,25,No,0.24,No,0,1.32,0.49,81.6,1.54,-1.3,Yes,2.06,Google Search,CMP220768,No,None,Too Expensive,Yes,2023-12-20,3,1.5,FY2024-Q1
USR691912,PRF774225,Shared,35-44,Non-Binary,Mexico,Asia Pacific,Seoul,Japanese,Hindi,Mobile,1.8,2019-11-24,2024-02-24,Net Banking,1553,Yes,No,5,1,CNT171603,Mirzapur,Series,Documentary,French,Licensed,2020,U/A 16+,2,16,2023-06-22,Thursday,2,34,150,22.7,In Progress,No,Sometimes,Tamil,3.1,28,45,Yes,No,No,Recommendations Only,Yes,Yes,No,Laptop,iOS,480p,Dolby Atmos,2,6.29,0.45,Broadband,No,No,Marta Kauffman,Omar Sy,Feel Good,5.9,89,82,90,47,143.8,1004.6,Power User,Medium,Neutral,54,15,20.3,4,116,6,No,0.2,Yes,1.28,0.31,0.76,18.0,0.94,-0.74,No,0,TV Ad,CMP188425,No,None,Not Applicable,No,Not Applicable,4,31.2,FY2023-Q2
USR777406,PRF803024,Adult,35-44,Prefer Not to Say,Germany,North America,Los Angeles,Italian,Spanish,Standard,6.01,2019-03-08,2024-05-24,Credit Card,1904,No,Yes,4,2,CNT480211,The Irishman,Anime,Crime,English,Licensed,2020,U/A 7+,1,8,2023-04-07,Friday,17,41,118,34.7,In Progress,Yes,Sometimes,German,2.0,98,28,Yes,Yes,Yes,Recommendations Only,Yes,Yes,No,Gaming Console,Web,Dolby Vision,Surround 5.1,5,8.1,0.69,4G,Yes,Yes,Marta Kauffman,Pankaj Tripathi,Intense,8.8,98,98,39,22,13.1,93.5,Re-Activated,Very High,Very Satisfied,5,11,27.2,16,114,39,No,1.35,No,0,0.26,0.71,66.11,1.27,0.08,No,0,Email Campaign,CMP884897,Yes,NF9624,Too Expensive,No,Not Applicable,3,11.6,FY2023-Q2
USR492127,PRF347231,Shared,18-24,Prefer Not to Say,Germany,Europe,Berlin,Hindi,Spanish,Premium,7.82,2023-08-18,2024-05-24,Debit Card,280,No,Yes,5,4,CNT129556,Better Call Saul,Reality Show,Thriller,Korean,Licensed,2024,U,1,1,2023-05-22,Monday,8,25,33,75.8,In Progress,No,Always,Spanish,2.9,19,36,No,Yes,No,Recommendations Only,Yes,Yes,Yes,Laptop,Tizen,720p,Dolby Atmos,2,7.18,0.37,Fiber,No,Yes,Martin Scorsese,Lee Jung-jae,Thought-Provoking,6.7,99,66,183,34,127.8,501.4,New User,Low,Satisfied,7,20,31.9,30,17,7,No,2.18,Yes,4.24,0.18,0.91,453.56,1.63,0.55,No,0,Partner Deal,CMP662093,Yes,NF7495,Temporary Pause,Yes,2024-02-29,0,30.5,FY2023-Q2
USR291132,PRF950916,Shared,25-34,Female,South Korea,Middle East,Riyadh,Hindi,Korean,Basic,2.4,2021-05-26,2024-08-01,Net Banking,1163,Yes,Yes,5,1,CNT138780,Sacred Games,Series,Animation,Italian,Licensed,2023,U/A 7+,7,70,2024-07-21,Sunday,0,116,119,97.5,Completed,Yes,Always,English,2.9,161,39,No,No,No,All,Yes,No,No,Smart TV,Windows,1080p,Stereo,3,18.46,4.46,5G,No,No,Reed Hastings,Jitendra Kumar,Romantic,7.9,63,76,192,2,54.2,112.4,Binge Watcher,Medium,Dissatisfied,77,15,15.0,52,133,17,Yes,0.52,No,0,0.27,0.35,64.8,2.53,-2.01,Yes,2.16,TV Ad,CMP545120,No,None,Not Applicable,No,Not Applicable,0,21.0,FY2024-Q3
USR571778,PRF488984,Adult,25-34,Non-Binary,France,Africa,Nairobi,German,Japanese,Standard,6.01,2022-05-31,2024-05-31,Credit Card,731,No,Yes,4,2,CNT701800,Black Mirror,Reality Show,Thriller,German,Netflix Original,2020,A,1,1,2024-04-02,Tuesday,1,83,110,75.5,In Progress,No,Sometimes,Japanese,5.0,332,35,Yes,Yes,Yes,None,Yes,No,No,Gaming Console,iOS,1080p,Surround 5.1,10,4.42,0.76,Fiber,No,Yes,Marta Kauffman,Claire Foy,Funny,6.2,90,63,20,43,96.0,440.5,Casual Viewer,Low,Satisfied,-82,14,7.3,46,114,5,No,0.52,No,0,0.07,0.07,330.55,2.11,-1.59,No,0,TV Ad,CMP464301,Yes,NF3513,Not Applicable,No,Not Applicable,5,3.6,FY2024-Q2
USR158104,PRF971776,Adult,18-24,Male,Spain,Middle East,Cairo,Italian,Hindi,Standard,6.01,2020-09-14,2024-04-24,UPI,1318,Yes,Yes,2,2,CNT272655,Dark,Talk Show,Drama,Japanese,Netflix Original,2023,U/A 13+,1,1,2024-08-09,Friday,11,38,139,27.3,In Progress,Yes,Sometimes,Italian,3.4,458,36,Yes,No,Yes,None,No,Yes,No,Gaming Console,iOS,Dolby Vision,Dolby Atmos,6,20.67,1.64,4G,Yes,Yes,Marta Kauffman,Nawazuddin Siddiqui,Suspenseful,5.4,59,85,184,47,72.3,360.9,Churned,Low,Very Satisfied,-80,1,38.0,50,148,16,Yes,0.58,No,0,1.28,0.45,294.49,1.79,-1.21,Yes,5.4,Email Campaign,CMP699929,No,None,Temporary Pause,Yes,2023-05-13,3,29.9,FY2024-Q3
USR705748,PRF856157,Shared,25-34,Non-Binary,France,North America,Chicago,Korean,Japanese,Premium,7.82,2017-09-30,2024-12-16,Debit Card,2634,No,Yes,3,4,CNT622469,Panchayat,Series,Drama,Spanish,Co-Production,2022,U/A 16+,4,36,2024-04-20,Saturday,6,82,107,76.6,In Progress,No,Sometimes,German,1.6,11,11,No,No,Yes,All,No,Yes,Yes,Laptop,Fire TV,Dolby Vision,Dolby Atmos,1,8.32,1.42,Fiber,No,No,Jenji Kohan,Millie Bobby Brown,Dark,8.9,60,82,103,9,114.3,671.8,Power User,Medium,Neutral,86,11,30.7,24,12,25,Yes,1.43,No,0,0.9,0.14,70.38,1.23,0.2,No,0,Partner Deal,CMP689107,Yes,NF3616,Found Alternative,No,Not Applicable,1,17.7,FY2024-Q2
USR486251,PRF447329,Shared,45-54,Male,Brazil,Asia Pacific,Tokyo,Portuguese,Portuguese,Mobile,1.8,2016-06-11,2024-02-19,UPI,2809,No,Yes,3,1,CNT935457,Marriage Story,Anime,Animation,Japanese,Co-Production,2017,U,2,20,2024-06-05,Wednesday,12,15,148,10.1,Dropped,No,Sometimes,Tamil,1.2,295,29,Yes,No,Yes,None,No,Yes,Yes,Smart TV,iOS,720p,Stereo,2,8.54,0.27,3G,No,No,David Fincher,Jason Bateman,Light-Hearted,5.6,61,90,133,30,23.2,210.9,Power User,Very High,Very Satisfied,80,4,21.0,36,84,42,No,0.39,Yes,2.27,1.23,0.84,77.4,1.34,-0.95,No,0,Partner Deal,CMP495129,No,None,Too Expensive,No,Not Applicable,2,45.9,FY2024-Q2
USR384303,PRF689318,Shared,45-54,Non-Binary,Japan,Latin America,Lima,Spanish,English,Premium,7.82,2017-02-26,2024-05-06,Gift Card,2626,No,Yes,5,4,CNT876880,Emily in Paris,Documentary,Horror,French,Co-Production,2018,U/A 7+,1,1,2024-12-07,Saturday,22,86,145,59.3,In Progress,Yes,Always,Italian,2.9,115,81,Yes,Yes,Yes,Recommendations Only,No,No,Yes,Desktop,Web,480p,Dolby Atmos,6,20.55,3.68,4G,No,No,Reed Hastings,Henry Cavill,Light-Hearted,7.5,99,77,74,8,86.4,528.5,Binge Watcher,High,Neutral,65,1,36.4,6,167,36,Yes,2.27,Yes,1.81,0.58,0.71,218.96,2.81,-0.54,No,0,Partner Deal,CMP874568,Yes,NF4310,Temporary Pause,No,Not Applicable,5,40.9,FY2024-Q4
USR520304,PRF801765,Adult,18-24,Male,Brazil,North America,Los Angeles,Spanish,Hindi,Premium,7.82,2023-11-02,2024-09-10,Net Banking,313,Yes,No,1,4,CNT439320,Stranger Things,Stand-Up,Crime,Tamil,Netflix Original,2016,U,1,1,2023-12-10,Sunday,9,131,136,96.3,Completed,No,Sometimes,Korean,4.6,228,96,No,No,No,None,Yes,No,No,Desktop,Tizen,480p,Dolby Atmos,7,16.38,4.47,WiFi,No,No,David Fincher,Jason Bateman,Thought-Provoking,5.6,72,89,70,13,121.5,523.8,Re-Activated,Low,Neutral,-6,19,9.2,9,123,9,No,1.86,Yes,3.81,1.58,0.57,422.28,0.98,0.88,No,0,TV Ad,CMP735163,No,None,Too Expensive,No,Not Applicable,2,20.3,FY2023-Q4
USR882032,PRF328486,Adult,55+,Male,France,Middle East,Istanbul,English,French,Mobile,1.8,2020-11-22,2024-08-16,UPI,1363,No,Yes,1,1,CNT834406,You,Series,Drama,Italian,Netflix Original,2023,A,2,20,2024-07-03,Wednesday,4,25,62,40.3,In Progress,Yes,Always,German,4.4,16,36,No,Yes,Yes,None,No,No,No,Tablet,Roku,4K HDR,Stereo,7,20.31,1.06,Fiber,Yes,No,Ryan Murphy,Jenna Ortega,Romantic,7.0,83,73,184,38,73.8,674.6,Churned,Medium,Satisfied,-100,24,1.4,20,119,43,No,0.32,No,0,0.91,0.06,63.0,2.18,-1.86,No,0,Partner Deal,CMP497700,No,None,Too Expensive,Yes,2024-02-10,1,12.3,FY2024-Q3
USR683761,PRF720407,Adult,18-24,Female,Spain,Asia Pacific,Seoul,Portuguese,Portuguese,Mobile,1.8,2022-05-28,2024-08-02,Net Banking,797,Yes,Yes,2,1,CNT149161,Wednesday,Series,Crime,English,Licensed,2022,U/A 16+,5,55,2024-12-21,Saturday,1,10,82,12.2,Dropped,No,Never,Portuguese,2.6,209,19,No,No,Yes,None,No,Yes,Yes,Laptop,Web,4K HDR,Stereo,9,8.31,0.17,Broadband,No,No,Jenji Kohan,Omar Sy,Intense,6.1,53,63,36,33,149.0,520.1,Power User,Medium,Neutral,-48,10,26.0,60,116,23,Yes,0.38,No,0,0.47,0.88,86.4,1.8,-1.42,No,0,Partner Deal,CMP859782,No,None,Too Expensive,No,Not Applicable,1,2.9,FY2024-Q4
USR534037,PRF147936,Teen,13-17,Female,Mexico,Latin America,Lima,Spanish,English,Mobile,1.8,2017-02-09,2024-10-27,UPI,2817,Yes,No,2,1,CNT680189,Power,Anime,Horror,English,Co-Production,2018,A,2,22,2023-05-01,Monday,23,67,142,47.2,In Progress,No,Sometimes,Spanish,3.8,100,42,Yes,No,Yes,Recommendations Only,No,No,No,Desktop,Fire TV,4K HDR,Stereo,8,16.39,2.29,Fiber,No,Yes,David Fincher,Nawazuddin Siddiqui,Funny,8.2,65,75,142,21,116.6,552.2,Casual Viewer,Low,Very Dissatisfied,-92,26,33.9,53,172,3,Yes,0.27,No,0,1.03,0.5,21.6,2.51,-2.24,No,0,App Store,CMP244170,Yes,NF7073,Found Alternative,No,Not Applicable,5,11.5,FY2023-Q2
